,Date,Location,Reduction_in_coverage,Running_total,Location_running_total
63,2061-11-01,Coverage_OUT_CA_IID[Percent],100.0,-482.0,-3300.0
64,2061-12-01,Coverage_OUT_CA_IID[Percent],100.0,-383.0,-3200.0
65,2062-11-01,Coverage_OUT_CA_IID[Percent],100.0,37.0,-3100.0
66,2062-12-01,Coverage_OUT_CA_IID[Percent],100.0,124.0,-3000.0
67,2063-11-01,Coverage_OUT_CA_IID[Percent],100.0,37.0,-2900.0
68,2064-11-01,Coverage_OUT_CA_IID[Percent],100.0,-513.0,-2800.0
69,2064-12-01,Coverage_OUT_CA_IID[Percent],100.0,-502.0,-2700.0
70,2065-11-01,Coverage_OUT_CA_IID[Percent],100.0,-1498.0,-2600.0
71,2065-12-01,Coverage_OUT_CA_IID[Percent],100.0,-1368.0,-2500.0
72,2066-12-01,Coverage_OUT_CA_IID[Percent],100.0,1085.0,-2400.0
73,2067-11-01,Coverage_OUT_CA_IID[Percent],100.0,3068.0,-2300.0
74,2067-12-01,Coverage_OUT_CA_IID[Percent],100.0,3177.0,-2200.0
75,2068-11-01,Coverage_OUT_CA_IID[Percent],100.0,2964.0,-2100.0
76,2068-12-01,Coverage_OUT_CA_IID[Percent],100.0,3258.0,-2000.0
77,2069-12-01,Coverage_OUT_CA_IID[Percent],-100.0,2550.0,-2100.0
78,2070-11-01,Coverage_OUT_CA_IID[Percent],-100.0,4195.0,-2200.0
79,2029-05-01,Coverage_OUT_CA_LADWP[Percent],5.0,2592.0,5.0
80,2033-05-01,Coverage_OUT_CA_LADWP[Percent],-1.0,321.0,4.0
81,2036-05-01,Coverage_OUT_CA_LADWP[Percent],14.0,-1356.0,18.0
82,2036-06-01,Coverage_OUT_CA_LADWP[Percent],5.0,-1098.0,23.0
83,2044-05-01,Coverage_OUT_CA_LADWP[Percent],10.0,6321.0,33.0
84,2046-05-01,Coverage_OUT_CA_LADWP[Percent],-11.0,5036.0,22.0
85,2052-05-01,Coverage_OUT_CA_LADWP[Percent],-15.0,697.0,7.0
